geo,date_quarter,ddos
CN,2019,139
CN,2019.25,149
CN,2019.5,149
CN,2019.75,108
CN,2020,290
CN,2020.25,240
CN,2020.5,289
CN,2020.75,220
CN,2021,94
CN,2021.25,196
CN,2021.5,247
CN,2021.75,77
CO,2016.75,11
CO,2017,23
CO,2017.25,41
CO,2017.5,34
CO,2017.75,26
CO,2018,21
CO,2018.25,32
CO,2018.5,33
CO,2018.75,21
CO,2019,35
CO,2019.25,31
CO,2019.5,24
CO,2019.75,56
CO,2020,496
CO,2020.25,125
CO,2020.5,98
CO,2020.75,87
CO,2021,44
CO,2021.25,68
CO,2021.5,40
CO,2021.75,26
CR,2016.75,137
CR,2017,154
CR,2017.25,95
CR,2017.5,128
CR,2017.75,31
CR,2018,121
CR,2018.25,111
CR,2018.5,89
CR,2018.75,66
CR,2019,85
CR,2019.25,29
CR,2019.5,113
CR,2019.75,87
CR,2020,318
CR,2020.25,203
CR,2020.5,257
CR,2020.75,205
CR,2021,93
CR,2021.25,71
CR,2021.5,104
CR,2021.75,0
CU,2016.75,0
CU,2017,181
CU,2017.25,100
CU,2017.5,0
CU,2017.75,0
CU,2018,0
CU,2018.25,0
CU,2018.5,0
CU,2018.75,0
CU,2019,0
CU,2019.25,0
CU,2019.5,0
CU,2019.75,0
CU,2020,0
CU,2020.25,59
CU,2020.5,0
CU,2020.75,84
CU,2021,20
CU,2021.25,21
CU,2021.5,20
CU,2021.75,0
CY,2016.75,172
CY,2017,66
CY,2017.25,309
CY,2017.5,33
CY,2017.75,99
CY,2018,97
CY,2018.25,93
CY,2018.5,66
CY,2018.75,66
CY,2019,144
CY,2019.25,66
CY,2019.5,105
CY,2019.75,91
CY,2020,120
CY,2020.25,63
CY,2020.5,92
CY,2020.75,59
CY,2021,29
CY,2021.25,111
CY,2021.5,56
CY,2021.75,56
CZ,2016.75,191
CZ,2017,312
CZ,2017.25,271
CZ,2017.5,142
CZ,2017.75,239
CZ,2018,82
CZ,2018.25,201
CZ,2018.5,254
CZ,2018.75,143
CZ,2019,173
CZ,2019.25,258
CZ,2019.5,300
CZ,2019.75,298
