date,location,hits,keyword,geo,gprop
2019-02-01 2019-03-01,Kaliningrad Oblast,,где митинг,RU,web
2019-02-01 2019-03-01,Kurgan Oblast,,где митинг,RU,web
2019-02-01 2019-03-01,Khabarovsk Krai,,где митинг,RU,web
2019-02-01 2019-03-01,Khanty-Mansi Autonomous Okrug,,где митинг,RU,web
2019-02-01 2019-03-01,Kirov Oblast,,где митинг,RU,web
2019-02-01 2019-03-01,Republic of Khakassia,,где митинг,RU,web
2019-02-01 2019-03-01,Kalmykia,,где митинг,RU,web
2019-02-01 2019-03-01,Kaluga Oblast,,где митинг,RU,web
2019-02-01 2019-03-01,Komi Republic,,где митинг,RU,web
2019-02-01 2019-03-01,Kostroma Oblast,,где митинг,RU,web
2019-02-01 2019-03-01,Republic of Karelia,,где митинг,RU,web
2019-02-01 2019-03-01,Kursk Oblast,,где митинг,RU,web
2019-02-01 2019-03-01,Krasnoyarsk Krai,,где митинг,RU,web
2019-02-01 2019-03-01,Leningrad Oblast,,где митинг,RU,web
2019-02-01 2019-03-01,Lipetsk Oblast,,где митинг,RU,web
2019-02-01 2019-03-01,Magadan Oblast,,где митинг,RU,web
2019-02-01 2019-03-01,Mari El Republic,,где митинг,RU,web
2019-02-01 2019-03-01,Mordovia,,где митинг,RU,web
2019-02-01 2019-03-01,Moscow Oblast,,где митинг,RU,web
2019-02-01 2019-03-01,Murmansk Oblast,,где митинг,RU,web
2019-02-01 2019-03-01,Nenets Autonomous Okrug,,где митинг,RU,web
2019-02-01 2019-03-01,Novgorod Oblast,,где митинг,RU,web
2019-02-01 2019-03-01,Nizhny Novgorod Oblast,,где митинг,RU,web
2019-02-01 2019-03-01,Novosibirsk Oblast,,где митинг,RU,web
2019-02-01 2019-03-01,Omsk Oblast,,где митинг,RU,web
2019-02-01 2019-03-01,Orenburg Oblast,,где митинг,RU,web
2019-02-01 2019-03-01,Oryol Oblast,,где митинг,RU,web
2019-02-01 2019-03-01,Perm Krai,,где митинг,RU,web
2019-02-01 2019-03-01,Penza Oblast,,где митинг,RU,web
2019-02-01 2019-03-01,Primorsky Krai,,где митинг,RU,web
2019-02-01 2019-03-01,Pskov Oblast,,где митинг,RU,web
2019-02-01 2019-03-01,Rostov Oblast,,где митинг,RU,web
2019-02-01 2019-03-01,Ryazan Oblast,,где митинг,RU,web
2019-02-01 2019-03-01,Sakha Republic,,где митинг,RU,web
2019-02-01 2019-03-01,Sakhalin Oblast,,где митинг,RU,web
2019-02-01 2019-03-01,Samara Oblast,,где митинг,RU,web
2019-02-01 2019-03-01,Saratov Oblast,,где митинг,RU,web
