date;reg_name;excess_mort_p;excess_mort_p_instr
2021-01-01;Белгородская область;0.2151008763;0.2467932574
2021-01-01;Брянская область;0.2462958742;0.312563720475
2021-01-01;Владимирская область;0.2409189083;0.32114910802
2021-01-01;Волгоградская область;0.2506517205;0.22105509538
2021-01-01;Вологодская область;0.2632375189;0.341268672028571
2021-01-01;Воронежская область;0.2007575758;0.278201694571429
2021-01-01;Ивановская область;0.173667964;0.311219046
2021-01-01;Иркутская область;0.230840193;0.22577451025
2021-01-01;Калужская область;0.2920850561;0.33583111445
2021-01-01;Кемеровская область;0.108356546;0.2531939369
2021-01-01;Кировская область;0.3780250029;0.21973418185
2021-01-01;Костромская область;0.228282384;0.2946481021
2021-01-01;Курганская область;0.1994784876;0.189308148675
2021-01-01;Курская область;0.292828939;0.2866368131
2021-01-01;Липецкая область;0.3540856031;0.327372921383333
2021-01-01;Магаданская область;0.2804005722;0.322371042175
2021-01-01;Московская область;0.3502453089;0.327325689125
2021-01-01;Мурманская область;0.2815975733;0.3449323391
2021-01-01;Hижегородская область;0.3376522652;0.31967373035
2021-01-01;Новгородская область;0.3555555556;0.324136234625
2021-01-01;Новосибирская область;0.2132733135;0.203162668625
2021-01-01;Омская область;0.1795759412;0.218280255625
2021-01-01;Оренбургская область;0.1745806559;0.239100949933333
2021-01-01;Орловская область;0.4169441361;0.30196323524
2021-01-01;Пензенская область;0.2448723792;0.33500314902
2021-01-01;Псковская область;0.2718797565;0.33484069976
2021-01-01;Ростовская область;0.2920549381;0.30319771062
2021-01-01;Рязанская область;0.4235222425;0.3355089597875
2021-01-01;Самарская область;0.3061783242;0.1984707443
2021-01-01;Саратовская область;0.2370258539;0.237913675085714
2021-01-01;Сахалинская область;0.3941261784;0.460884042
2021-01-01;Свердловская область;0.1916717478;0.18541428835
2021-01-01;Смоленская область;0.2483967507;0.30008523496
2021-01-01;Тамбовская область;0.3056639311;0.2920527309
2021-01-01;Тверская область;0.3399201791;0.30166210835
2021-01-01;Томская область;0.2683855338;0.193326794114286
2021-01-01;Тульская область;0.3245207038;0.36737646934
2021-01-01;Тюменская область;0.1957310876;0.224918174385714
2021-01-01;Тюменская область;0.1957310876;0.224918174385714
2021-01-01;Ульяновская область;0.1826911389;0.312287049683333
2021-01-01;Челябинская область;0.1740986717;0.1910261663
2021-01-01;Ярославская область;0.3206577595;0.289265168028571
2021-01-01;г.Москва;0.428583913;0.3211651825
2021-01-01;г.Санкт-Петербург;0.462741652;0.421507484
2021-01-01;Еврейская автономная область;0.1111111111;0.3828023227
2021-01-01;Ханты-Мансийский авт.округ-Югра;0.2414649286;0.20695083566
2021-01-01;Чукотский авт.округ;0.2;0.322456855966667
2021-01-01;Ямало-Hенецкий авт.округ;0.1843137255;0.244195109725
2021-01-01;Ленинградская область;0.421507484;0.35405092806
2021-02-01;Республика Адыгея;0.2867163525;0.1949116457
2021-02-01;Республика Алтай;0.008111239861;0.0550793948073333
2021-02-01;Республика Башкортостан;0.1225585438;0.092132250265
2021-02-01;Республика Бурятия;0.1154643927;0.131083242085
2021-02-01;Республика Дагестан;0.1223622716;0.172731901433333
2021-02-01;Республика Ингушетия;0.4009661836;0.2134502929
2021-02-01;Кабардино-Балкарская Республика;0.2165898618;0.258351327133333
2021-02-01;Республика Калмыкия;0.2464454976;0.15673645028
2021-02-01;Карачаево-Черкесская Республика;0.3286908078;0.1862258964
2021-02-01;Республика Карелия;0.4492753623;0.24883898745
2021-02-01;Республика Коми;0.04754829123;0.17642922685625
