line;company;region;good;win;comment
1;Закрытое акционерное общество Чебоксарский электроаппаратный завод ;г. Чебоксары;1;;
1;Общество с ограниченной ответственностью Электростекло ;г.Москва ;1;;
1;Закрытое акционерное общество Группа компаний Титан ;г.Омск ;1;;
1;Закрытое акционерное общество Строительно-монтажное предприятие -95 ;г.Томск ;1;;
1;Открытое акционерное общество Красногорский завод им. С.А. Зверева ; Московская обл., г. Красногорск ;1;;
1;Открытое акционерное общество Уральская Сталь ;Оренбургская обл., г. Новотроицк ;1;;
1;Общество с ограниченной ответственностью Научно-производственное объединение Кристалл ;Московская обл., г. Королев ;0;;3
1;Открытое акционерное общество Научно-производственное объединение ГЕОФИЗИКА-НВ ;г.Москва ;1;;
1;Открытое акционерное общество Елецгидроагрегат ;Липецкая обл., г. Елец ;1;;
1;Федеральное государственное унитарное предприятие производственное объединение Север ;г. Новосибирск ;0;;3
1;Общество с ограниченной ответственностью Западно-Сибирская марганцевая компания. ;г. Новокузнецк;1;;
1;Закрытое акционерное общество Домостроительный комбинат № 7 ;г.Москва ;1;;
1;Общество с ограниченной ответственностью научно-производственное предприятие Технофильтр ; г.Владимир ;1;1;
1;Открытое акционерное общество Научно-исследовательский проектно-конструкторский и технологический институт электромашиностроения ;г.Владимир;0;;2
1;Общество с ограниченной ответственностью Владимирский станкостроительный завод Техника ;г.Владимир;1;;
1;Общество с ограниченной ответственностью научно-производственное предприятие Макромер ;г.Владимир ;1;;
1;Общество с ограниченной ответственностью Научно-техническая Фирма СЕВАВТОТРАНС ;Вологодская обл., г. Череповец ;1;;
1;Общество с ограниченной ответственностью Малленом ;Вологодская обл., г. Череповец;0;;2
1;Открытое акционерное общество Салаватнефтемаш ; г. Салават ;1;1;
1;Федеральное государственное унитарное предприятие Федеральный научно-производственный центр Алтай ;Алтайский край, г. Бийск ;1;1;
1;Федеральное государственное унитарное предприятие Альфа ;г.Москва ;0;;3
1;Федеральное государственное унитарное предприятие Альфа ;г.Москва ;0;;3
1;Федеральное государственное унитарное предприятие Альфа ;г.Москва ;0;;3
1;Федеральное государственное унитарное предприятие Альфа ;г.Москва ;0;;3
1;Открытое акционерное общество Ульяновское конструкторское бюро приборостроения ;г.Ульяновск;1;;
1;Открытое акционерное общество Нарышкинская перо-пуховая фабрика ;Орловская обл., пос. Нарышкино;0;;3
1;Общество с ограниченной ответственностью Автомобильный завод ГАЗ ;г. Нижний Новгород ;1;;
1;Общество с ограниченной ответственностью Научно-производственное предприятие Тасма ;г.Казань;0;;3
1;Открытое акционерное общество Казанский вертолетный завод ;г.Казань;1;1;
1;Федеральное государственное унитарное предприятие Ордена Трудового Красного Знамени Федеральный научно-производственный центр по радиоэлектронным системам и информационным технологиям имени В.И.Шимко ;г.Казань;1;;
1;Общество с ограниченной ответственностью ТНГ-Групп ; Республика Татарстан, г. Бугульма ;1;1;
1;Татарский научно-исследовательский и проектный институт нефти открытого акционерного общества Татнефть им.В.Д.Шашина ;Республика Татарстан, г. Альметьевск;0;;2
1;Открытое акционерное общество Татхимфармпрепараты ;г. Казань;1;;
1;Закрытое акционерное общество Баромембранная технология ;г.Владимир;1;;
1;Федеральное государственное унитарное предприятие Государственный научно-производственный ракетно-космический центр ЦСКБ-Прогресс ;г.Самара;1;;
1;Открытое акционерное общество Научно-производственное предприятие Контакт ;г.Саратов ;0;;1
1;Открытое акционерное общество Тамбовский завод Электроприбор ;г.Тамбов ;1;;
1;Открытое акционерное общество Самарский научно-технический комплекс им. Н.Д. Кузнецова ;г.Самара;1;;
1;Открытое акционерное общество Научно-производственное предприятие Контакт ;г.Саратов;0;;1
1;Федеральное государственное унитарное предприятие Федеральный научно-производственный центр Производственное объединение Старт имени М.В.Проценко ;Пензенская обл., г. Заречный ;0;;2
1;Федеральное государственное унитарное предприятие Федеральный научно-производственный центр Производственное объединение Старт имени М.В.Проценко ;Пензенская обл., г. Заречный ;0;;2
1;Открытое акционерное общество Ракетно-космическая корпорация Энергия имени С. П. Королева ;Московская обл., г. Королев   ;1;1;
1;Открытое акционерное общество КУЗНЕЦОВ ;г.Самара ;1;1;
1;Открытое акционерное общество Ракетно-космическая корпорация Энергия имени С. П. Королева ;Московская обл., г. Королев   ;1;;
1;Открытое акционерное общество Ракетно-космическая корпорация Энергия имени С. П. Королева ;Московская обл., г. Королев   ;1;1;
1;Закрытое акционерное общество Фирма АйТи. Информационные технологии. ;г.Москва ;1;;
1;Закрытое акционерное общество Фирма АйТи. Информационные технологии. ;г.Москва ;1;;
1;Закрытое акционерное общество Фирма АйТи. Информационные технологии. ;г.Москва ;1;1;
1;Федеральное государственное унитарное предприятие Конструкторское бюро Арсенал имени М.В. Фрунзе ;г. Санкт-Петербург;1;;
1;Открытое акционерное общество Электроаппарат ; Г.Курск ;1;;
1;Общество с ограниченной ответсвенностью Промышленное объединение Концерн Курсктрикотажпром ;г.Курск;0;;1
1;Закрытое акционерное общество Авиастар-СП ;г.Ульяновск;1;;
1;Открытое акционерное общество Электровыпрямитель ; г. Саранск ;1;1;
1;Общество с ограниченной ответственностью Научно-производственное предприятие Лазерные системы ;г. Санкт-Петербург;1;;
1;Закрытое акционерное общество АКТОМ ;г.Ульяновск;0;;1
1;Общество с ограниченной ответственностью Компания Нео ;г. Санкт-Петербург;0;;3
